배추,은평구,이마트 은평점,3362,마트
배추,종로구,광장시장,5324,시장
배추,종로구,통인시장,4622,시장
배추,중구,남대문시장,3812,시장
배추,중랑구,동원시장,3437,시장
배추,중랑구,우림시장,3449,시장
배추,중랑구,이마트 상봉점,3376,마트
배추,중랑구,홈플러스 면목점,3527,마트
상추,강남구,도곡시장,1265,시장
상추,강남구,이마트,1672,마트
상추,강남구,청담삼익시장,1383,시장
상추,강동구,둔촌역전통시장,873,시장
상추,강동구,암사종합시장,832,시장
상추,강동구,이마트,1263,마트
상추,강동구,홈플러스,1335,마트
상추,강북구,수유재래시장,789,시장
상추,강북구,숭인시장,827,시장
상추,강북구,하나로클럽 미아점,1019,마트
상추,강서구,송화시장,906,시장
상추,강서구,이마트,883,마트
상추,강서구,홈플러스,964,마트
상추,강서구,화곡본동시장,825,시장
상추,관악구,관악신사시장(신림4동),795,시장
상추,관악구,세이브마트,813,마트
상추,관악구,신원시장(신림1동),866,시장
상추,관악구,원당종합시장,914,시장
상추,광진구,노룬산골목시장,847,시장
상추,광진구,롯데마트 강변점,1755,마트
상추,광진구,이마트 자양점,1772,마트
상추,광진구,자양골목시장,1059,시장
상추,구로구,고척근린시장,750,시장
상추,구로구,남구로시장,759,시장
상추,구로구,이마트,1212,마트
상추,금천구,남문시장,921,시장
상추,금천구,현대시장,801,시장
상추,금천구,홈플러스_독산,941,마트
상추,금천구,홈플러스_시흥,904,마트
상추,노원구,공릉도깨비시장,828,시장
상추,노원구,상계중앙시장,841,시장
상추,노원구,홈플러스 중계점,1823,마트
상추,도봉구,방학동 도깨비시장,698,시장
상추,도봉구,신창시장,721,시장
상추,도봉구,이마트 창동점,969,마트
상추,도봉구,홈플러스 방학점,1014,마트
상추,동대문구,경동시장,687,시장
상추,동대문구,청량리종합시장,692,시장
상추,동대문구,홈플러스 동대문점 ,1292,마트
상추,동작구,남성시장,791,시장
상추,마포구,마포농산물시장,1300,시장
상추,마포구,망원시장,1214,시장
상추,마포구,홈플러스,1697,마트
상추,서대문구,롯데슈퍼,1668,마트
상추,서대문구,영천시장,637,시장
상추,서대문구,인왕시장,743,시장
상추,서초구,방림시장,1325,시장
상추,서초구,하나로클럽,1298,마트
상추,성동구,금남시장,917,시장
상추,성동구,뚝도시장,781,시장
상추,성동구,이마트_성수,858,마트
상추,성동구,이마트_왕십리,960,마트
상추,성북구,돈암제일시장,782,시장
상추,성북구,이마트 미아점,1122,마트
상추,성북구,장위골목시장,781,시장
상추,송파구,마천중앙시장,930,시장
상추,송파구,홈플러스,1195,마트
상추,영등포구,대림중앙시장,793,시장
상추,영등포구,영등포전통시장,934,시장
상추,영등포구,이마트,1397,마트
상추,영등포구,홈플러스,1463,마트
상추,용산구,농협하나로마트,1228,마트
상추,용산구,용문시장,1109,시장
상추,용산구,이마트,1345,마트
상추,용산구,후암시장,805,시장
상추,은평구,대림시장,820,시장
상추,은평구,대조시장,824,시장
상추,은평구,이마트 은평점,894,마트
상추,종로구,광장시장,810,시장
